sentence	relation
Some <e1>content</e1> from the <e2>encyclopedia</e2> became a part of Microsoft's Encarta digital encyclopedia.	8
He was later recaptured through the combined efforts of a <e1>coven</e1> of white <e2>witches</e2> and a group of satanists.	13
Investigations had indicated the <e1>fire</e1> started from the <e2>airconditioners</e2> because on arrival that was the area engulfed.	18
The <e1>missile</e1> was placed inside a <e2>canister</e2> and loaded into a launch facility.	6
The <e1>book</e1> contains short <e2>tales</e2>, it is regarded as the first book of juvenile literature.	3
That's because nostalgia serves a useful defensive and reparative function; it took the <e1>sting</e1> from a <e2>painful episode</e2> in his life by shading the script.	18
The temperature at which <e1>flower</e1> <e2>buds</e2> are injured depends.	3
Beauty had scarcely uttered these words when the <e1>castle</e1> radiated with <e2>light</e2>.	0
The <e1>exhibition</e1> brings together rare Chinese <e2>ceramics</e2> and paintings.	3
The rising popularity of malted whiskies, especially single malt <e1>barley</e1> <e2>spirits</e2>, is evidenced in the growing number of distilleries and labels that have been cropping up over the past few years.	9
Scientists have put <e1>sensors</e1> into <e2>mobile phones</e2>.	6
It seems like the fever <e1>heat</e1> got pushed out from the <e2>body</e2> as rashes.	1
The strange <e1>query</e1> was coming from a 28-year-old African-American Starbucks <e2>manager</e2> named Crystal Thompson.	16
The <e1>editor</e1> improved the manuscript with his <e2>changes</e2>.	17
These and many other <e1>stories</e1> are used by the new <e2>scientists</e2> in order to support their theory.	10
An oil <e1>spill</e1> caused by a <e2>collision</e2> between a ship and a barge closed the ship channel servicing the nation's second largest port.	1
Player one can become white and block all the bullets while <e1>player</e1> two blasts the boss with the opposite <e2>color</e2>.	11
The <e1>hairdresser</e1> took his <e2>scissors</e2> and held up a coil of hair.	11
Your <e1>cat</e1> uses these <e2>whiskers</e2> to judge the size of an opening.	3
The <e1>tea</e1> was in a <e2>cup</e2> and not as the menu suggested in a pot.	4
The <e1>siphon</e1> in a <e2>cistern</e2> consisted of a pipe bent over above the water level in the cistern.	2
Streema is an online <e1>radio</e1> <e2>tuner</e2> to listen, discover and share radios with your friends.	18
Two extra-time goals sent the <e1>team</e1> into the Carling <e2>final</e2>.	18
The <e1>pain</e1> was radiating from the right <e2>buttock</e2> to the knee joint.	8
The Jackson County court case <e1>files</e1> from that <e2>date</e2> have been lost, and the entries in the Judgement Book are ambiguous.	8
One of them jumps from the boat to the bank and turns into a <e1>pile</e1> of <e2>ashes</e2>, as if he had been on the earth for hundreds of years.	13
He took the <e1>cameras</e1> to the <e2>concert</e2>.	6
<e1>Oscillation</e1> of the lever caused by the <e2>swinging</e2> of the pendulum.	1
The second day of the <e1>conference</e1> started with the fourth <e2>session</e2> on knowledge.	3
They were a loose <e1>confederacy</e1> of various Arab <e2>lineages</e2> who were forged together in the eighteenth century by a common way of life and amalgamated in the twentieth century under their famous Shaykh (Sir) 'Ali al-Tom (1874-1937).	13
At their peak on Saturday, 23 September, the <e1>powerboat</e1> <e2>manufacturer</e2> sold a new boat every 28 minutes.	16
Both ships caught <e1>fire</e1> after the <e2>collision</e2> but the blazes were brought under control.	1
The hotel is in the style of a <e1>country</e1> <e2>lodge</e2> and only has 18 rooms.	18
From 1958 to the present, he has cautiously undertaken a close collaboration with a <e1>pleiad</e1> of reputed <e2>authors</e2> in his cinematic endeavors.	13
This <e1>volume</e1> contains fifteen <e2>essays</e2> by well-established scholars addressed to various aspects of Russell's wide-ranging and dynamic philosophical work.	13
The spread is mainly airborne, via the virus-laden <e1>droplets</e1> produced by coughing and <e2>sneezing</e2>.	18
The purpose of this paper is to present an on-going research that constructs a live <e1>thesaurus</e1> directly from search term <e2>logs</e2> of real-world search engines.	8
Her unexpected <e1>elimination</e1> caused a <e2>riot</e2> on the Internet, and one blog site (SOHH.com) referred to her elimination episode as the one where the show lost all credibility.	0
