sentence	relation
When a <e1>bottle</e1> full of <e2>air</e2> is opened under water, the water will not enter the bottle.	5
"In the spring of 1950, the FCC issued a warning to the Hollywood motion picture studios against withholding product and <e1>talent</e1> from broadcast <e2>television</e2>, in what motion picture exhibitors denounced as ""a bullying statement""."	18
State abandoned national socio-cultural imperatives and rushed in to join the scandalous community and the <e1>camaraderie</e1> of the <e2>tyrants</e2>.	18
He puts <e1>creativity</e1> into <e2>use</e2>.	18
I found a <e1>wallet</e1> once with 30 <e2>quid</e2> in it, I handed in the wallet but took the money.	5
Sumatera (Yagasu) made a <e1>profit</e1> from the <e2>selling</e2> of women groups' handicrafts activities.	1
A letterbox is a plastic, screw-top <e1>bottle</e1> that contains a small <e2>notebook</e2> and a unique rubber stamp.	5
Our company has released five computer <e1>applications</e1> to the Apple's online <e2>shops</e2>.	6
The <e1>vaccine</e1> is made from inactivated <e2>virus</e2>, so it's impossible to get the flu from the vaccine.	8
The arrival of the <e1>tensile stresses</e1> from the free <e2>surfaces</e2> was about 2 Bsec in the tests.	8
Although the <e1>goats</e1> were farmed for their <e2>fibre</e2> from early times it was not until the 16th century that export of the goats was permitted.	9
But the <e1>problem</e1> requires a broader <e2>solution</e2> - one that is consistent with the new U.S. commitment to cross-border cooperation.	18
A <e1>woman</e1> applies the <e2>patch</e2> to the skin of her abdomen or buttock for three and a half weeks.	11
Most recent <e1>books</e1> on the topic of traditional <e2>knitting</e2> contain information on Sanquhar knitting.	14
The baby <e1>tapir</e1> snorgled its <e2>snout</e2> into the basket full of cuddly baby bunnies.	3
But in 2004 the <e1>rupture</e1> started at the <e2>southeast end</e2> of the segment and ran northwestward, the opposite direction from those that struck in '34 and '66.	18
For some reason, the <e1>star</e1> was blinded from his own <e2>insight</e2> about the incommensurability of time.	18
Things reach a head when the capricious <e1>youngster</e1> runs away from the Jeffersons' <e2>apartment</e2>.	8
The <e1>spring</e1> of the <e2>gravimeter</e2> must extend some more to accommodate the larger weight.	2
When I got up there, a <e1>woman</e1> popped out of an <e2>office</e2> and introduced herself as the PM's secretary.	8
The fact that you actually caused an <e1>accident</e1> that resulted in <e2>injury</e2> or death gives them the justification they need to prosecute you to the fullest extent of the law, and seek the toughest penalties possible.	0
Years later, and here I am, thirteen years old, the <e1>child</e1> with her <e2>nose</e2> pressed up against the window waving goodbye.	3
The <e1>box</e1> was inside a plain brown <e2>paper bag</e2> with a heart drawn on the side.	4
The <e1>joey</e1> leaves the <e2>pouch</e2> for short periods in about nine months of age, but continues to be suckled until it is about 18 months of age.	8
The album was stored in a protective poly jacket and the <e1>vinyl</e1> was stored in an anti-static <e2>sleeve</e2>.	6
One of her <e1>arguments</e1> addresses the very real <e2>threat</e2> that the women's struggle is being bypassed as the new social movement succeeds.	14
Public key encryption is a <e1>technique</e1> that uses a pair of asymmetric <e2>keys</e2> for encryption and decryption.	3
The <e1>trip</e1> of two mountain <e2>goats</e2> to was also a subject for discussion.	18
I changed the balance of the flavours through my selection of bread, and got an <e1>increase</e1> in the sweetness with a choice of <e2>raisin bread</e2>.	1
Then after that the <e1>angels</e1> chopped him into millions of <e2>pieces</e2>, but still he glittered and hummed.	17
Below is a list of the <e1>books</e1> of the <e2>bible</e2>.	2
"The 1983 <e1>movie</e1> ""A Christmas Story"" captured the nation's heart with a story about 1950s Middle American <e2>celebrations</e2> during the Christmas season."	14
Of the situation in the fifteenth century, Parkes remarks: 'The <e1>mass</e1> of the people cultivated the <e2>land</e2>'.	18
Global warming <e1>pollution</e1> from <e2>cars</e2>, light trucks and SUV's is the single largest source of global warming pollution generated in Maine.	1
What happens is that the <e1>system</e1> builds many inferior blood <e2>vessels</e2> in the eye to take the place of the vessels that are dying.	17
The mp3 <e1>player</e1> was inside a <e2>silicone case</e2> that covered everything but the click wheel and the screen.	4
The <e1>sun</e1> emits <e2>light</e2> or radiation at a large range of energies or frequencies.	0
These are all symptoms of the muscle <e1>paralysis</e1> caused by the bacterial <e2>toxin</e2>.	1
Beyond its guardtowers, the <e1>castle</e1> had two <e2>gatehouses</e2>, a barbican and a tall tower in the castle's inner ward.	3
These <e1>studies</e1> supplied exploratory <e2>details</e2> on some of the determinant attributes and provided a basis for the current research.	18
The warming <e1>member</e1> of the heating <e2>device</e2> is positioned on inner sides of finger front portions of a glove for warming front ends of a wearer's fingers.	2
The Gateway DX-4822-01 <e1>computer</e1> makes a convincing pitch with the performance <e2>numbers</e2> and features to earn its place in your home.	18
The Indians drink so much <e1>maize</e1> <e2>liquor</e2> that it makes them drunk.	9
We did not endorse a candidate unlike the ten <e1>scientists</e1> who wrote a <e2>letter</e2> in support of John Kerry.	17
This acoustic <e1>instrumental</e1> (which has always been one of my favorites), makes an abrupt departure from the band's <e2>signature</e2> and dark-sounding metal riffs.	18
Major disasters like <e1>cyclone</e1>, floods and the storm surges, drought are caused by <e2>climate change</e2>.	1
The enemy combatant <e1>case</e1> has moved into <e2>civilian courts</e2>.	6
<e1>Eggs</e1> come out of the female's <e2>body</e2> through the ovipositor.	8
The <e1>bottom</e1> is welded into each monoseal <e2>casket</e2> using a continuous weld aldong the entire seam.	18
Guinea <e1>unions</e1> threaten junta with <e2>walkout</e2>.	11
This <e1>document</e1> makes a significant contribution into further <e2>clarification</e2> of the access to drinking water as a human right.	18
The <e1>cells</e1> migrated into both upper <e2>layers</e2>.	6
The <e1>introduction</e1> in the <e2>book</e2> is a summary of what is in the text.	2
The effective utilization of a <e1>cluster</e1> of <e2>workstations</e2> for the implementation of a scientific application requires a highly flexible software environment.	13
<e1>Prospectors</e1> seeking their fortune in the Colorado gold fields traveled to Denver on the Smoky Hill <e2>trail</e2> from Kansas and points east.	18
Many viral <e1>infections</e1> that cause <e2>rash</e2> resolve within several days and require no medication.	0
I've been asking for a fizzy <e1>milk</e1> <e2>drink</e2> for a while.	18
It is also when a <e1>parent</e1> manipulates a <e2>child</e2>.	18
So with my little <e1>bag</e1> full of <e2>buttons</e2>, I faced the cold, blustery day to carry out some of these lovely ideas.	5
Jordan's recent <e1>works</e1> are concerned with <e2>questions</e2> of truth, beauty and the human condition.	14
This is an absorbing <e1>book</e1>, diminished by the choppy <e2>way</e2> Ackerman balances Antonina's account with the larger story of the Warsaw Holocaust.	18
Petitions against the annexation were signed by between one half and two-thirds of a total <e1>population</e1> of some 8000 <e2>burghers</e2>.	13
Hotels and restaurants Downtown are prepared to handle the <e1>crush</e1> of <e2>delegates</e2>.	13
Also, every <e1>employee</e1> who is a participant in the <e2>trust</e2> automatically has a beneficial interest in the ownership of the agency.	18
The <e1>bungalow</e1> has a full <e2>bar</e2> and offers a wide selection of draft and bottled beer and wine.	3
The <e1>concerns</e1> were related to property <e2>taxes</e2>, sewage systems, property values, and control of school districts.	18
The earliest <e1>writing</e1> is from 5000 <e2>years</e2> ago and helps us understand some of the changes.	8
On the courtyard there is a <e1>room</e1> that contains a <e2>billiard table</e2>, a big cinema screen with a Sony DVC/CD Player with over 300 titles and several sofas.	18
The <e1>inmates</e1> successfully scaled the barbed wire fence by using heavy-duty work <e2>gloves</e2>.	11
Sounds like the <e1>rug</e1> got pulled out from the original <e2>plans</e2>.	8
The <e1>owl</e1> held the mouse in its <e2>claw</e2>.	3
This is the <e1>umbrella</e1> that peels the potatoes with a <e2>pencil</e2> and makes a pink ink with the peelings stood up.	11
The basic <e1>indicator</e1> of the health <e2>condition</e2> of trees, stands and forests is tree defoliation.	1
The resulting <e1>biofilm</e1> grows from the <e2>inside</e2> out rather than planktonic organisms attaching and promoting the growth from the outside.	18
Having been won over by the slick downiness of a paddling of ducklings nibbling bread crumbs on the central pond, I was irritated to see their place taken by a <e1>squabble</e1> of <e2>seagulls</e2>.	13
<e1>Jumbo squids</e1> are migrating into new <e2>waters</e2>, and scientists wonder why.	6
The point of the <e1>article</e1> is that <e2>food</e2> forms an important part of CNY.	14
The US <e1>marines</e1> have landed into the <e2>port</e2> this morning.	6
On the way back, the <e1>train</e1> departed from <e2>station</e2> Zilupe at 08:07 and arrived in Riga passenger station at 12:05.	8
The <e1>wind</e1> pried with its stiff <e2>fingers</e2> at the very foundations.	3
In Japan I was able to bring a <e1>bottle</e1> with <e2>water</e2> in it through security on my way to Singapore.	5
He changed perspective cricketers view, on role of wicket <e1>keeper</e1> in the <e2>team</e2>.	12
The <e1>leukocytes</e1> migrated into the body <e2>tissues</e2> to take up a permanent residence at that location rather than remaining in the blood.	6
After the <e1>swing</e1> went away from the <e2>wicket</e2> he couldn't do anything.	8
I called for Wolf and was answered by a <e1>murder</e1> of idle <e2>crows</e2> that seemed to look down from an old dead oak and scoff at my dilemma.	13
Each side of the <e1>clock</e1> has a <e2>button</e2> that, when pressed, starts the other team's timer running.	3
The size of the <e1>scissors</e1> used by a beginning <e2>stylist</e2> for learning to cut the hair is actually determined more by the size of his or her hands.	10
In addition, scientists maye have a number of potentially useful targets to prevent and treat this lethal tumour because of the findings that NOX5 mediated <e1>overproduction</e1> of hydrogen peroxide is responsible for increased <e2>growth</e2> and decreased death of cancer cells.	0
It is a branch of <e1>philosophy</e1> dealing with the <e2>nature</e2> of beauty, art, and taste, and with the creation and appreciation of beauty.	18
A <e1>person</e1> regains the movement roughly equal to walking on solid ground by using <e2>snowshoes</e2>.	11
The <e1>country</e1> <e2>gentleman</e2>, lodging at the Hotel de Mayence, Rue Saint-Honore, near the Place Vendome, one morning received a visit from a confidential agent of the Ministry, who was an expert in 'winding up' business.	9
The <e1>motor</e1> turns the panel with the help of the mechanical transmission <e2>system</e2>.	11
The <e1>exhibition</e1> explores the <e2>ideas</e2> and beliefs of people in the Middle Ages.	14
The <e1>foot</e1> was inside a white Nike <e2>running shoe</e2>.	4
The <e1>programme</e1> reported a <e2>sexual relationship</e2> between the two that began in the summer of 2008.	14
The dates for when the coral reefs had been living(125,000, 105,000, and 82,000 years ago) closely matched <e1>dates</e1> from Milankovitch <e2>cycles</e2> for times when the ice sheets should have been melted and the seas at their highest(127,000, 106,000, and 82,000 years ago).	18
The infectious bacterial disease <e1>brucellosis</e1> has been found in a beef <e2>cow</e2> in eastern Idaho.	18
The <e1>teacher</e1> covers the candle with a tall <e2>glass</e2>.	11
It becomes a lunch-time respite from the busy city life as a <e1>diner</e1> relaxes with his buffet <e2>delight</e2> while watching the commuters waiting alongside each other.	11
The <e1>items</e1> are handed over into our <e2>trust</e2>.	6
I made the <e1>carpet</e1> by cutting a knitting wool into short <e2>strips</e2>.	2
Early in the <e1>book</e1>, a seashore tide <e2>pool</e2> is used as an exquisite metaphor for discovery.	14
It produces a <e1>wine</e1> descended from a local <e2>vine</e2>, Galbena de Odobesti, a light white wine, little aromatic but appreciated for its freshness and its balance.	17
Toda has established himself as the world's foremost <e1>folder</e1> of paper <e2>planes</e2>.	17
These characteristics are inconsistent with <e1>observations</e1> from <e2>earthquakes</e2> of comparable distance and magnitude to those that dominate the hazard at Yucca Mountain.	18
Ensuring a stable supply of <e1>farm</e1> <e2>produce</e2> is good news to most Chinese people who spend much of their money on food.	17
Get on board before the <e1>train</e1> leaves the <e2>station</e2>.	8
As the <e1>boat</e1> sailed away from the <e2>port</e2>, we had a perfect view of Fira and the zigzag road we just traversed via our donkey rides.	8
In the autumnal season, a <e1>phalanx</e1> of <e2>storks</e2>, herons, or swans, mounts into the heavens, like an ascending pyramid, to migrate from the frigid to the torrid zone.	13
The <e1>department</e1> achieved the goal with a 75% <e2>reduction</e2> in accidents.	18
At first instance, this <e1>convention</e1> was concerned with <e2>prevention</e2>, reduction and control of pollution.	14
A <e1>factory</e1> for <e2>cars</e2> and spareparts was built in Russia.	17
The <e1>bacon</e1> is home cured by our local <e2>butcher</e2> who also supplies the award winning sausages.	18
The Earth was the center of the universe, and the <e1>sky</e1> was enclosed in a <e2>dome</e2>.	18
When poured into a Sly Imperial pint glass, this <e1>rye</e1> <e2>ale</e2> was a solid amber color with a few minor gold highlights along the sides and at the bottom of the beer.	9
The <e1>turtle</e1> was slowly pushing the jellyfish in front of his <e2>mouth</e2> (in the manner of a water-polo player controlling a ball), keeping his prey steady with his flippers.	3
The exhibition shows the <e1>hilt</e1> of the 18th century <e2>smallsword</e2> used by Captain John Paul Schott in the American Revolutionary War.	2
The Pulitzer Committee issues an official <e1>citation</e1> explaining the <e2>reasons</e2> for the award.	14
The <e1>organization</e1> has also been the subject of much <e2>conspiracy parody</e2>.	15
The <e1>buyer</e1> adjusted the gold dust with a <e2>spoon</e2> until the scale balanced.	11
In the <e1>book</e1>, a distinguished country <e2>gentleman</e2> becomes a knight after reading too many chivalric novels.	18
The <e1>singer</e1>, who performed three of the nominated songs, also caused a <e2>commotion</e2> on the red carpet.	0
The emission of electromagnetic <e1>radiation</e1> from <e2>cell phones</e2> continues to become a growing concern.	1
<e1>Ants</e1> are spreading into new <e2>habitats</e2>.	6
"Whatever your choice, that horribly dated Chick Corea electric keyboard tone on the first cut sounds like the <e1>player</e1> bought his <e2>equipment</e2> at Toys ""R"" Us."	11
The juice passes through the tiny <e1>holes</e1> in a strainer <e2>basket</e2> and is collected in a container at the bottom.	2
He zeroed in on the metal button in the <e1>fly</e1> of my <e2>jeans</e2> as well as the metal eyelets on my shoes as the only sources of metal that likely triggered the metal detector.	2
The Kerala backwaters are a <e1>chain</e1> of brackish <e2>lagoons</e2> and lakes lying parallel to the Arabian Sea coast of Kerala state in southern India.	13
"Merolchazzar, the high-priest, muttered something about the anger of the Gods at the toleration shown to a <e1>sect</e1> of impious <e2>heretics</e2> who ate pigeons broiled, "" whereas,"" said he, ""our religion commands us to eat them roasted."""	13
Amazon put <e1>ads</e1> into Kindle <e2>books</e2>.	6
The <e1>species</e1> makes a squelching <e2>noise</e2>.	0
In a little time the numbers increased from forty-five to eighty, and soon after to a greater number; which, with the majority of the clergy, and the whole of the national representatives, put the <e1>malcontents</e1> in a very <e2>diminutive condition</e2>.	18
JISC has recently released preliminary <e1>results</e1> of one of the largest <e2>investigations</e2> ever undertaken into the usage of e-books by students.	15
Earlier on our trip, where the seawall between two backyards was missing, Jennifer and I spotted a <e1>plump</e1> of <e2>moorhens</e2> living in the void.	13
Red Line conductor Ivan Hardaway prepares the <e1>train</e1> for departure from the <e2>station</e2>.	8
The situation called for peanut butter <e1>cookies</e1> baked from the simplest <e2>recipe</e2> imaginable.	18
"This ""all around immature nice guy"" is, above all, a <e1>choreographer</e1>, having devised the <e2>moves</e2> to the film adaptation of Hairspray."	18
A symbol of this mystery is the sail that hangs on the <e1>mast</e1> of the <e2>ship</e2> as though it were Christ raised on the Cross.	2
The <e1>meeting</e1> was postponed to a <e2>later date</e2>.	6
Little did these naive people realize at the time that they were embracing a foul <e1>brood</e1> of ungrateful <e2>vipers</e2>, which would soon prove to be their undoing.	13
"Surviving a plane crash over Micronesia as a baby that killed my adoptive parents, I was initially raised by a <e1>whoop</e1> of wild <e2>gorillas</e2>, then later by savage pygmies who idolised me as someone with special powers and christened me ""Mighty White Man"", shortened recently to Dean Wightman."	13
This article is about pre-existing <e1>conditions</e1> with respect to <e2>health insurance</e2>.	18
The best kept secret for avoiding abdominal <e1>weight gain</e1> due to <e2>stress</e2> is the use of adaptogens.	1
The floating zenith <e1>telescope</e1> has come into formal observatory <e2>routine</e2> since September.	18
Peanut Blossoms are made by putting a chocolate kiss into a peanut butter <e1>cookie</e1> just from the <e2>oven</e2>.	8
A <e1>statement</e1> from the <e2>campaign</e2> claimed that police knew quickly they had killed an innocent man.	16
This rather bizarre picture is of a <e1>whirl</e1> hedge of <e2>herons</e2> - for such is the collective noun for these birds.	13
He made his way inside, where the <e1>jewelry</e1> was locked in a <e2>safe</e2> for the night.	4
These children have given up everything - all they own now is a <e1>suitcase</e1> with <e2>clothes</e2> in it.	5
The animal <e1>plate</e1> of the sea urchin <e2>embryo</e2> becomes the apical organ, a sensory structure of the larva.	2
Two <e1>prices</e1> arrived to the <e2>hotel</e2>.	6
With the recent invention of plastic core roller covers, the <e1>painter</e1> is able to complete an entire job no matter how large, with their original <e2>roller</e2>.	11
"That song immediately segues into the maniacal ""Red & Purple"", a bewilderingly worded love <e1>song</e1> accompanied by a toy <e2>piano</e2> and fuzzy bass."	18
<e1>Oil</e1> produced from such <e2>reservoirs</e2>, especially Nigeria and Middle East, could have poor economical balance.	8
The first mass marketed <e1>toothpaste</e1> was in a <e2>jar</e2> from Colgate with the tubes we know today coming into existence in 1896.	4
Oblique <e1>light</e1> is directed toward the specimen from any <e2>azimuth</e2> to achieve the best desired effect for a given specimen.	8
This is a wholesale <e1>forum</e1> to discuss aspects of business such as <e2>dropshipping</e2>, wholesale buying and selling, reselling, etc.	14
The <e1>radiation</e1> from the atomic <e2>bomb explosion</e2> is a typical acute radiation.	1
Several <e1>cats</e1> ran into Rob's <e2>garage</e2>.	6
They had stumbled upon a <e1>nest</e1> of saltwater <e2>crocodiles</e2> that had made their home deep into the swamp, near the coastline.	13
This <e1>microphone</e1> is made with a medical grade grey silicone <e2>suction cup</e2> that can stay attached to slick smooth surfaces for long periods.	3
The <e1>manufacturer</e1> guarantees the dimension by using the precise grind <e2>process</e2>.	11
The sound <e1>machine</e1> contained 10 <e2>sounds</e2> that his dog loved.	0
A pool with a sand <e1>beach</e1> is located inside the <e2>cave</e2>.	18
A <e1>warehouse</e1> <e2>user</e2> with limited authority cannot crate the required bufferpool.	10
This suspicion is further fueled by the arrival of a <e1>piano</e1> for Jane from a mysterious anonymous <e2>benefactor</e2>.	8
The longest <e1>hairs</e1> that make the tip of the <e2>brush</e2> all have the same length and stay evenly together.	2
The <e1>cabin</e1> was moved from its original <e2>site</e2> near Huxley, Iowa, as a project of the Ames Heritage Association.	8
<e1>Spamming</e1> has been the subject of <e2>legislation</e2> in many jurisdictions.	15
He operated the <e1>centrifuge</e1> with <e2>rotors</e2> and buckets which show signs of corrosion or mechanical damage.	3
The <e1>deficits</e1> caused by the fiscal stimulus <e2>package</e2> end in 2011 and will help to sustain a fragile recovery in 2010, the deficits projected for the longer term are a threat to our economic future.	1
They posted a note on the back of the door and the <e1>lid</e1> of the <e2>toilet</e2>.	2
Before attacking the Walthers <e1>kit</e1> with a razor <e2>saw</e2>, however, let's take care of some other important layout details.	18
I have inserted <e1>animation</e1> into the <e2>e-post card</e2>.	6
A <e1>diffusion</e1> driven desalination <e2>process</e2> is driven by water vapor saturating low humidity air.	10
The <e1>goods</e1> have been delivered to the <e2>buyer</e2>.	6
<e1>Batteries</e1> stored in <e2>contact</e2> with one another generate heat and hydrogen gas.	18
Canned <e1>peach</e1> <e2>syrup</e2> was cooked for three minutes with a half-glass of raspberry jelly, this for color and to give a peach-melba flavor.	9
<e1>Scientists</e1> have succeeded in creating the first <e2>transistor</e2> made from a single molecule.	17
A laser sighting device for a firearm comprises a holder adapted to attach to the <e1>handgrip</e1> of the <e2>firearm</e2> such that the firearm may be held in a firing position.	2
Venezuela sent an <e1>ambassador</e1> to the Palestine <e2>border</e2>.	6
And a 22-page internal <e1>report</e1> by a computer security <e2>company</e2> named MANDIANT, dated August 18, fleshes out many details of the June-July breaches.	16
A western regiment was behind it, a <e1>regiment</e1> of <e2>hunters</e2> and marksmen.	13
We feasted upon a <e1>meal</e1> sumptuously produced by our ever-wondrous <e2>chef</e2> (Issy) and then the games commenced.	16
When leaving on the walk, our guide gave one of our group a <e1>bottle</e1> with twenty <e2>re-hydration tablets</e2> in it.	5
The <e1>base</e1> of the shrine encloses a lone datura <e2>seedpod</e2>.	5
The magnetic <e1>island</e1> grows from the resonant <e2>radius</e2> until the so-called mixing radius rmix and full reconnection are reached.	18
A <e1>beetle</e1> protects itself by constructing <e2>armor</e2> made from excrement.	17
The <e1>surgeon</e1> repairs the cartilage with a <e2>suture</e2>.	11
A few have successfully imported <e1>programs</e1> into their own <e2>computers</e2>.	6
The candle <e1>wax</e1> is the main ingredient needed for making <e2>candles</e2> of all types.	9
The liftable <e1>scaffold</e1> 10 has a <e2>platform</e2> 12 including a frame 14.	3
She opened a fridge in the side of the door and got out a <e1>blueberry</e1> <e2>vodka</e2>.	18
Drug smugglers surgically implanted <e1>heroin</e1> into <e2>puppies</e2>.	6
Highly durable, the <e1>umbrella</e1> <e2>frame</e2> and thatch tiles have been designed to withstand harsh conditions including: strong winds, driving rain and snow.	3
Knee <e1>injuries</e1> from <e2>running</e2> are treated and prevented by following tips and performing stretches from Runner's World.com.	1
It is a fairy <e1>story</e1> depicting the incredible <e2>ugliness</e2> of human sin, misery, and futility, yet also the incredible and beautiful power of love.	14
Some comments from readers highlight the <e1>frustration</e1> and inconvenience caused by the 3-pin <e2>system</e2>.	1
<e1>Students</e1> learn at their own pace by using <e2>computers</e2>.	11
Some <e1>content</e1> from the <e2>encyclopedia</e2> became a part of Microsoft's Encarta digital encyclopedia.	8
He was later recaptured through the combined efforts of a <e1>coven</e1> of white <e2>witches</e2> and a group of satanists.	13
The <e1>missile</e1> was placed inside a <e2>canister</e2> and loaded into a launch facility.	6
A similar image search <e1>feature</e1> has been added to the <e2>software</e2>.	6
The <e1>students</e1> also came up with <e2>ideas</e2> for further development.	17
The temperature at which <e1>flower</e1> <e2>buds</e2> are injured depends.	3
Beauty had scarcely uttered these words when the <e1>castle</e1> radiated with <e2>light</e2>.	0
Elsewhere, you'll find a real embarrassment of riches, with <e1>song</e1> after brilliant hit song from the fertile imaginations of the great Brill Building <e2>writers</e2>.	16
Scientists have put <e1>sensors</e1> into <e2>mobile phones</e2>.	6
The strange <e1>query</e1> was coming from a 28-year-old African-American Starbucks <e2>manager</e2> named Crystal Thompson.	16
A <e1>textile</e1> <e2>mill</e2> is a factory for making textiles.	16
The <e1>editor</e1> improved the manuscript with his <e2>changes</e2>.	17
These and many other <e1>stories</e1> are used by the new <e2>scientists</e2> in order to support their theory.	10
There's a <e1>pitying</e1> of <e2>turtledoves</e2> cooing to their mate.	13
An oil <e1>spill</e1> caused by a <e2>collision</e2> between a ship and a barge closed the ship channel servicing the nation's second largest port.	1
Along with lots of padding, a <e1>treat</e1> wrapped inside a <e2>towel</e2> was put inside the seat of the stuntman's pants to entice the dog to bite the padded part.	4
Player one can become white and block all the bullets while <e1>player</e1> two blasts the boss with the opposite <e2>color</e2>.	11
The <e1>hairdresser</e1> took his <e2>scissors</e2> and held up a coil of hair.	11
Your <e1>cat</e1> uses these <e2>whiskers</e2> to judge the size of an opening.	3
The <e1>tea</e1> was in a <e2>cup</e2> and not as the menu suggested in a pot.	4
The <e1>siphon</e1> in a <e2>cistern</e2> consisted of a pipe bent over above the water level in the cistern.	2
Streema is an online <e1>radio</e1> <e2>tuner</e2> to listen, discover and share radios with your friends.	18
Two extra-time goals sent the <e1>team</e1> into the Carling <e2>final</e2>.	18
The <e1>pain</e1> was radiating from the right <e2>buttock</e2> to the knee joint.	8
The Jackson County court case <e1>files</e1> from that <e2>date</e2> have been lost, and the entries in the Judgement Book are ambiguous.	8
One of them jumps from the boat to the bank and turns into a <e1>pile</e1> of <e2>ashes</e2>, as if he had been on the earth for hundreds of years.	13
These emotionally wrenching experiences encouraged the volunteers to seek the <e1>comradeship</e1> of fellow <e2>veterans</e2>.	18
<e1>Oscillation</e1> of the lever caused by the <e2>swinging</e2> of the pendulum.	1
The second day of the <e1>conference</e1> started with the fourth <e2>session</e2> on knowledge.	3
They were a loose <e1>confederacy</e1> of various Arab <e2>lineages</e2> who were forged together in the eighteenth century by a common way of life and amalgamated in the twentieth century under their famous Shaykh (Sir) 'Ali al-Tom (1874-1937).	13
My animation <e1>assignment</e1> from last <e2>term</e2> made everyone smile.	8
The <e1>tailor</e1> left his <e2>scissors</e2> on a wall below his balcony.	11
At their peak on Saturday, 23 September, the <e1>powerboat</e1> <e2>manufacturer</e2> sold a new boat every 28 minutes.	16
The hotel is in the style of a <e1>country</e1> <e2>lodge</e2> and only has 18 rooms.	18
From 1958 to the present, he has cautiously undertaken a close collaboration with a <e1>pleiad</e1> of reputed <e2>authors</e2> in his cinematic endeavors.	13
The spread is mainly airborne, via the virus-laden <e1>droplets</e1> produced by coughing and <e2>sneezing</e2>.	18
The purpose of this paper is to present an on-going research that constructs a live <e1>thesaurus</e1> directly from search term <e2>logs</e2> of real-world search engines.	8
<e1>Sun</e1> and wind cause <e2>evaporation</e2> of water, causing rains, and this energy can be caught using hydroelectric power.	0
Genuine <e1>joy</e1> comes from profound spiritual <e2>awareness</e2> on life and an absolute clarity of direction, living for a purpose.	1
The <e1>compiler</e1> assumes that the <e2>programmer</e2> passes an object to the method.	10
The <e1>study</e1> is making a valuable contribution to determining the <e2>levels</e2> of sustainable tourism in this country.	18
